"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"336",1023,0.1735,0.2357,0.1337,0.0041,6e-04,0.0013,0.4255,0,0.5638,"AL",22.2,10.6,22182,18.6,22.1,20.3,28.4,8.7,43.6,0.4,1.1,31.6,1.4,10.1,1.4,9,20,1,5,1,"REPUBLICAN"
"337",5065,0.2177,0.2654,0.1452,0.0231,0.0096,0,0.0183,0,0.9293,"AR",17.1,9.3,20501,14.9,24.9,18.2,24.5,3.6,6.8,0.1,0.6,18.5,1.6,4.9,7,9,20,1,5,1,"REPUBLICAN"
"338",1087,0.1676,0.2337,0.1274,0.0081,9e-04,0.0017,0.8254,0,0.1585,"AL",25.8,12.1,20125,18.3,18.6,17.9,17.3,10.5,84.4,0,2.5,19,1.3,13,12.1,6,0,21,0,6,"DEMOCRAT"
"339",4007,0.1638,0.2442,0.1252,0.1875,0.1607,0.0079,0.0065,0,0.6225,"AZ",22.5,10.2,22939,14.7,27.7,20.3,22.2,8,37.6,1.8,0.9,21.1,4,5.9,1.8,4,21,0,6,0,"REPUBLICAN"
"340",4015,0.1537,0.2307,0.1191,0.1645,0.02,0.0107,0.01,0.002,0.7729,"AZ",17.5,8.9,24829,14.7,28.8,17.9,22.5,7.7,22.4,1.8,4.1,27.3,3.8,5.3,1.6,3,21,0,6,0,"REPUBLICAN"
"341",1081,0.1417,0.1937,0.1052,0.0368,0.0018,0.0411,0.2273,0,0.6744,"AL",21.4,5.7,26960,9.5,11.1,21.5,13.2,10.1,32.6,1.2,12.3,16,3.1,4.6,3.7,3,21,0,6,0,"REPUBLICAN"
"342",1053,0.1735,0.2357,0.1337,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023,"AL",24,13.5,18161,18.5,17.3,22.3,18.8,8.5,39.8,0.5,1,17.5,2,4.9,7.6,6,21,0,6,0,"REPUBLICAN"
"343",1111,0.1783,0.235,0.1368,0.0295,0.0017,0.0021,0.1967,0,0.7529,"AL",17.7,5,23247,21.2,20,21.8,14.3,8.2,24.7,0.3,1.6,23.5,2.9,7,2.2,6,21,0,6,0,"REPUBLICAN"
"344",5007,0.1818,0.2171,0.1164,0.1662,0.0126,0.0384,0.0165,0.0061,0.7333,"AR",9.9,2.7,32624,11.9,13.1,26.8,9.5,7.8,26.3,3.3,6.9,4.9,3.5,3.2,1.1,2,21,0,6,0,"REPUBLICAN"
"345",5057,0.2112,0.2589,0.1377,0.1282,0.0032,0.0012,0.2998,0.0033,0.5461,"AR",24.3,5.5,20168,19,17.6,26,17.9,13.7,45.1,3.8,1.4,18.6,3,7.1,1.6,6,18,3,4,2,"REPUBLICAN"
"346",1047,0.1808,0.2526,0.139,0.0107,9e-04,0.0057,0.7043,1e-04,0.2732,"AL",31.1,11.8,18910,19.3,16.8,24.4,17.8,13.8,72.5,0.1,1.5,20.5,3.1,13.5,1.5,4,0,21,0,6,"DEMOCRAT"
"347",1017,0.1806,0.24,0.1383,0.0238,0.0033,0.0112,0.3956,0,0.5555,"AL",16.6,5,22827,18.6,18.9,20.7,16.7,9.7,44.2,0.1,4,14,3,7.3,1.5,6,21,0,6,0,"REPUBLICAN"
"348",5017,0.2237,0.2767,0.1495,0.055,0.0014,0.0058,0.5388,0,0.3873,"AR",29.2,9.7,21843,19.3,19.5,22.7,24.4,13.9,61,1.1,4.8,17.3,2,16,6.6,7,6,15,1,5,"REPUBLICAN"
"349",1117,0.1422,0.1809,0.1056,0.0572,0.0026,0.0206,0.1202,2e-04,0.7787,"AL",8.4,4,36576,7.8,14.3,24,11.2,6,21.9,1.6,7.6,8,1.1,2.9,1.4,1,21,0,6,0,"REPUBLICAN"
"350",1073,0.149,0.2041,0.1111,0.0387,0.0016,0.0157,0.428,3e-04,0.4989,"AL",17,7.3,30657,10.3,15,23,15.5,10.4,49.9,1.2,13.8,2.9,1.5,7.7,2.4,1,3,18,2,4,"DEMOCRAT"
"351",5071,0.2091,0.2576,0.1378,0.1392,0.0024,0.0206,0.0156,8e-04,0.7918,"AR",22.4,4.1,19681,20.6,16,24.3,20.3,8.9,20.2,3.3,2.7,14.7,3.8,4.9,3,7,21,0,6,0,"REPUBLICAN"
"352",1061,0.1768,0.2352,0.1344,0.0398,0.0089,0.0044,0.0941,5e-04,0.8385,"AL",24,8.6,20471,20.9,19.4,22.1,21.5,9.4,16.1,0.6,0.3,28.4,1.9,5.5,0.9,3,21,0,6,0,"REPUBLICAN"
"353",1103,0.1713,0.2221,0.1303,0.0836,0.0047,0.0064,0.1269,6e-04,0.7563,"AL",15.3,5.2,25907,16.7,16.7,23,16.8,9.1,24,2.1,5.2,11.1,2.4,5.3,1.6,3,21,0,6,0,"REPUBLICAN"
"354",1039,0.1758,0.2304,0.1343,0.0169,6e-04,0.0038,0.1339,9e-04,0.8329,"AL",18.3,8.7,23071,17.1,20.5,21.9,20.9,9,16.6,0.4,1.3,21.6,2.1,5.2,1.8,6,21,0,6,0,"REPUBLICAN"
"355",4021,0.1635,0.2437,0.1258,0.3016,0.043,0.0158,0.0408,0.0029,0.5679,"AZ",14.2,7.8,23653,14.6,19.3,23.4,15.2,8.3,42.9,3.4,2.2,19.1,3.7,4.4,6.3,1,21,0,6,0,"REPUBLICAN"
"356",1009,0.1854,0.2362,0.1416,0.0926,7e-04,0.0037,0.0153,4e-04,0.8689,"AL",14.4,4.1,22656,19.8,17.8,23.4,14.2,7,12.9,1.7,0.9,25.2,1.6,4.2,0.9,1,21,0,6,0,"REPUBLICAN"
"357",5031,0.214,0.2646,0.1395,0.0505,0.0019,0.0141,0.145,1e-04,0.7603,"AR",18.4,5.8,26432,10.9,13.3,24.8,17.5,13,23.3,0.9,9.1,6.5,2.7,7.6,3.6,3,20,1,5,1,"REPUBLICAN"
